"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"382","ADMA","2018-12-31","USD",16985290,-42194635,-25209345,-35079599,-22502922,-3926120,-844938,-60288944,-5454501,-5327380,-65743445,0,-65743445,NA,-65743445,NA,-65743445,-65743445,-65743445,3306805,-3688440,NA,NA,NA,NA,-62678682,-2095600,NA,0,-2095600,NA,-16581,42957838,42921560,-21852722,976582,2018,"Q4","2019-03-13","2019-11-06",46375994,46375994,22754852,1392441,18616169,44529625,30115730,NA,14231166,44346896,88876521,9452229,172817,9625046,41434094,59481037,69106083,236207676,NA,-216437238,19770438,88876521,"ADMA BIOLOGICS, INC.",NA
"392","ADP","2018-06-30","USD",13325800000,-7842600000,5483200000,-2971500000,-2971500000,NA,NA,2511700000,-340600000,-102700000,2171100000,NA,2171100000,-550300000,1620800000,0,1620800000,1620800000,1620800000,609300000,-92500000,NA,NA,NA,NA,2515200000,-470400000,-1421800000,-612400000,-2504600000,-1063700000,-7300000,-989300000,-1655900000,-1639500000,591496,2018,"Q4","2018-08-03","2018-11-01",437900000,441100000,2.17e+09,1984200000,NA,31823300000,793700000,25500000,6206600000,7025800000,38849100000,2693500000,NA,30412700000,2002400000,3700500000,34113200000,1078700000,-12209600000,16546600000,4735900000,38849100000,"AUTOMATIC DATA PROCESSING INC",100002
"401","ADRO","2018-12-31","USD",15087000,NA,15087000,-112455000,-36035000,-75836000,-584000,-97368000,5220000,5284000,-92148000,-3992000,-96140000,783000,-95357000,NA,-95357000,-95357000,-95357000,17593000,4052000,NA,NA,NA,NA,-68759000,-2324000,41731000,NA,39407000,NA,NA,1986000,-1495000,-31304000,781554,2018,"Q4","2019-02-27","2019-02-27",15887660,15887660,266439000,12037000,NA,282976000,29157000,11434000,33937000,74528000,357504000,14517000,NA,30517000,NA,191676000,222193000,538903000,NA,-404532000,135311000,357504000,"ADURO BIOTECH, INC.",106002
"411","ADS","2018-12-31","USD",7791200000,-4220900000,3570300000,-1.676e+09,-172700000,NA,-487300000,1894300000,-670600000,-670600000,1223700000,NA,1223700000,-260600000,963100000,NA,963100000,963100000,963100000,1488700000,-184200000,NA,NA,NA,NA,2754900000,-2.42e+08,-42100000,NA,-1.872e+09,-125200000,-6.1e+08,-425600000,-1217900000,-3.47e+08,68960,2018,"Q4","2019-02-26","2019-02-26",54200000,54300000,3863100000,17740600000,251900000,24711700000,595100000,NA,5080900000,5.676e+09,30387700000,979300000,2862100000,1.1484e+10,10527500000,16571600000,28055600000,3173500000,-5715700000,5012400000,2332100000,30387700000,"ALLIANCE DATA SYSTEMS CORP",104007
"421","ADSK","2019-01-31","USD",2569800000,-285900000,2283900000,-2.267e+09,-1.524e+09,-7.25e+08,-1.8e+07,16900000,-17700000,-17700000,-8e+05,-41900000,-42700000,-38100000,-80800000,NA,-80800000,-80800000,-80800000,276600000,86100000,-25400000,NA,-58500000,1.7e+08,377100000,-6.7e+07,392800000,-1040200000,-710400000,NA,5e+08,-202600000,151900000,-1.92e+08,185035,2018,"Q4","2019-03-25","2019-09-04",219100000,219100000,953600000,474300000,NA,1.62e+09,149700000,NA,2959500000,3109200000,4729200000,537900000,0,2301200000,2087700000,2638900000,4940100000,2071500000,NA,-2147400000,-210900000,4729200000,"AUTODESK INC",101003
"423","ADT","2018-09-30","USD",4581673000,-1041336000,3540337000,-3177879000,-1246950000,NA,-1930929000,362458000,-635622000,-663204000,-273164000,-359454000,-632618000,23463000,-609155000,NA,-609155000,-609155000,-609155000,532535000,-66702000,NA,NA,NA,NA,1787607000,-1396614000,NA,-352819000,-1738210000,-79439000,-1129531000,0,193001000,240380000,54871,2018,"Q4","2019-03-11","2020-03-10",756975000,756975000,363177000,245714000,115315000,854017000,326565000,NA,16028026000,16354591000,17208608000,619420000,58184000,1012490000,9944112000,11971313000,12983803000,5977016000,NA,-1680432000,4224805000,17208608000,"ADT Inc.",101001
"430","ADVM","2018-12-31","USD",1612000,NA,1612000,-74693000,-24560000,-50133000,NA,-73081000,4204000,NA,-68877000,-5e+06,-73877000,1250000,-72627000,NA,-72627000,-72627000,-72627000,19777000,-1614000,NA,NA,NA,NA,-52714000,-809000,70253000,NA,68194000,NA,-75000,71215000,69949000,85429000,702608,2018,"Q4","2019-03-06","2019-05-08",63260000,63260000,205079000,NA,NA,208754000,3586000,NA,1155000,4741000,213495000,10491000,NA,10719000,NA,1609000,12328000,522509000,NA,-320543000,201167000,213495000,"Adverum Biotechnologies, Inc.",106002
"439","AE","2018-09-30","USD",1750213000,-48169000,1702044000,-1700636000,-1689982000,NA,-10654000,1408000,2046000,2046000,3454000,0,3454000,-509000,2945000,NA,2945000,2945000,2945000,-201000,17616000,NA,NA,NA,NA,31014000,-9693000,NA,NA,-19135000,-3711000,NA,NA,-4206000,7673000,191518,2018,"Q4","2019-02-13","2019-05-08",4218000,4217000,117066000,85622000,22779000,229590000,44623000,NA,4657000,49280000,278870000,116097000,883000,123267000,3209000,9005000,132272000,12370000,NA,134228000,146598000,278870000,"ADAMS RESOURCES & ENERGY, INC.",107005
"451","AEE","2018-12-31","USD",6.291e+09,-1.35e+09,4.941e+09,-3.584e+09,NA,NA,NA,1.357e+09,-2.99e+08,-4.01e+08,1.058e+09,0,1.058e+09,-2.37e+08,8.21e+08,NA,8.21e+08,8.21e+08,8.21e+08,3.67e+08,4.4e+07,NA,NA,NA,NA,2.17e+09,-2.286e+09,-1.6e+07,NA,-2.336e+09,-4.51e+08,6.23e+08,7.4e+07,2.05e+08,3.9e+07,68703,2018,"Q4","2019-02-26","2019-02-26",244500000,246700000,1.6e+07,5.42e+08,4.83e+08,1.533e+09,2.281e+10,NA,2.872e+09,2.5682e+10,2.7215e+10,9.1e+08,1.177e+09,2.687e+09,7.859e+09,1.6755e+10,1.9442e+10,5.629e+09,NA,2.024e+09,7.773e+09,2.7215e+10,"AMEREN CORP",105001
"459","AEHR","2018-05-31","USD",29555000,-17169000,12386000,-11471000,-7290000,-4181000,NA,915000,-460000,-399000,455000,NA,455000,73000,528000,NA,528000,528000,528000,938000,-3234000,NA,NA,NA,NA,-1351000,-572000,NA,NA,-572000,NA,0,925000,925000,-955000,178053,2018,"Q4","2018-08-28","2018-10-12",22034000,22613000,16848000,2856000,9049000,29456000,1203000,NA,296000,1499000,30955000,3408000,6110000,11148000,NA,522000,11670000,83262000,NA,-66249000,19285000,30955000,"AEHR TEST SYSTEMS",101004
"469","AEIS","2018-12-31","USD",718892000,-353285000,365607000,-189815000,-108033000,-76008000,-5774000,175792000,823000,NA,176615000,-4239000,172376000,-25227000,147149000,-38000,147025000,147025000,147149000,15802000,-25116000,NA,NA,NA,NA,151271000,-20330000,494000,-93756000,-113592000,NA,NA,-95125000,-97134000,-60485000,574583,2018,"Q4","2019-02-21","2019-02-21",38386000,38615000,351771000,100442000,97987000,568448000,31269000,NA,216767000,248036000,816484000,74679000,NA,110309000,NA,98873000,209182000,97456000,NA,512783000,607302000,816484000,"ADVANCED ENERGY INDUSTRIES INC",101001
"479","AEO","2019-01-31","USD",4035720000,-2548082000,1487638000,-1150509000,-982178000,NA,-168331000,337129000,7971000,NA,345100000,NA,345100000,-83198000,261902000,NA,261902000,261902000,261902000,23264000,975000,NA,NA,NA,NA,456645000,-189693000,-93136000,NA,-282829000,-97123000,-6802000,-128910000,-252503000,-80283000,173396,2018,"Q4","2019-03-14","2019-03-14",174864000,177240000,425465000,93477000,424404000,1046253000,742149000,NA,114976000,857125000,1903378000,431984000,9974000,542645000,NA,73178000,615823000,577425000,-1309692000,2054654000,1287555000,1903378000,"AMERICAN EAGLE OUTFITTERS INC",103002
"490","AEP","2018-12-31","USD",16195700000,-5786500000,10409200000,-7655900000,NA,NA,-2286600000,2753300000,-966200000,-972800000,1787100000,186400000,1973500000,-115300000,1931300000,0,1923800000,1923800000,1931300000,239800000,765500000,NA,NA,NA,NA,5223200000,-14600000,-57800000,NA,-6353600000,-1255500000,2.37e+09,73600000,1161900000,31500000,66050,2018,"Q4","2019-02-21","2019-02-21",493130998,494465265,393200000,1926500000,921100000,4113900000,55099100000,NA,9589800000,64688900000,68802800000,2.106e+09,3608500000,8648800000,21648200000,40985800000,49634600000,9823500000,NA,9325300000,19168200000,68802800000,"AMERICAN ELECTRIC POWER CO INC",105001
"508","AES","2018-12-31","USD",1.0736e+10,-8.163e+09,2.573e+09,-1.92e+08,-1.92e+08,NA,NA,2.381e+09,-8.04e+08,-7.46e+08,1.577e+09,4.41e+08,2.018e+09,-7.08e+08,1.349e+09,2.16e+08,1.201e+09,1.201e+09,1.565e+09,-3.9e+07,-1.86e+08,-2.06e+08,-3.6e+07,6.2e+07,-6e+06,2.343e+09,-2.121e+09,NA,1.809e+09,-5.05e+08,-3.44e+08,-7.89e+08,0,-1.643e+09,2.15e+08,62329,2018,"Q4","2019-02-27","2019-05-07",6.64e+08,6.68e+08,1.479e+09,1.595e+09,5.77e+08,5.015e+09,2.1396e+10,NA,6.11e+09,2.7506e+10,3.2521e+10,2.732e+09,1.659e+09,4.399e+09,1.7636e+10,2.1639e+10,2.6038e+10,8.162e+09,-1.878e+09,-1.005e+09,6.483e+09,3.2521e+10,"AES CORP",105001
"512","AFI","2018-12-31","USD",728200000,-5.85e+08,143200000,-160600000,-160600000,NA,NA,-17400000,-7700000,-4800000,-25100000,NA,-25100000,6e+06,-19100000,-143900000,-1.63e+08,-1.63e+08,-1.63e+08,168200000,2200000,NA,NA,NA,NA,62500000,-29600000,NA,0,60600000,NA,-6e+07,-2e+05,13500000,1.35e+08,155205,2018,"Q4","2019-03-05","2019-03-05",26037945,25794950,173800000,3.9e+07,139500000,370900000,296100000,NA,41200000,337300000,708200000,141900000,28700000,170600000,70600000,146600000,317200000,678600000,-39700000,-186300000,3.91e+08,708200000,"Armstrong Flooring, Inc.",110005
"522","AGCO","2018-12-31","USD",9.352e+09,-7355300000,1996700000,-1495700000,-1069400000,-355200000,-64700000,5.01e+08,-128700000,-53800000,372300000,-1.2e+07,360300000,-110900000,283700000,NA,285500000,285500000,283700000,55500000,-33200000,NA,NA,NA,NA,595900000,-200100000,NA,-5800000,-205500000,-47100000,-176100000,-184300000,-413300000,-41600000,365265,2018,"Q4","2019-03-01","2019-05-09",77600000,78400000,326100000,880300000,1908700000,3537400000,1373100000,NA,2715900000,4.089e+09,7626400000,2388300000,210600000,2766700000,1275300000,1866200000,4632900000,1.1e+07,NA,4477300000,2993500000,7626400000,"AGCO CORP /DE",100009
"536","AGIO","2018-12-31","USD",94387000,NA,94387000,-456866000,-114145000,-341324000,NA,-362479000,16451000,16451000,-346028000,NA,-346028000,NA,-346028000,NA,-346028000,-346028000,-346028000,69540000,-35105000,NA,NA,NA,NA,-304421000,-6986000,-266839000,NA,-273825000,NA,NA,546415000,546024000,-32222000,737501,2018,"Q4","2019-02-14","2019-02-14",58223425,58223425,585302000,NA,869000,613780000,24320000,220119000,238000,244677000,858457000,60027000,NA,93503000,NA,77417000,170920000,1794341000,NA,-1104633000,687537000,858457000,"AGIOS PHARMACEUTICALS INC",106002
"540","AGLE","2018-12-31","USD",3888000,NA,3888000,-49351000,-12632000,-36719000,NA,-45463000,1115000,1172000,-44348000,NA,-44348000,NA,-44348000,NA,-44348000,-44348000,-44348000,4661000,7201000,NA,NA,NA,NA,-32193000,-422000,-14809000,NA,-15231000,NA,NA,57068000,57068000,9644000,640634,2018,"Q4","2019-03-07","2019-08-06",24032415,24032415,74513000,NA,NA,76671000,1018000,NA,50000,1068000,77739000,10239000,NA,10239000,NA,72000,10311000,184316000,NA,-116861000,67428000,77739000,"Aeglea BioTherapeutics, Inc.",106002
"547","AGN","2018-12-31","USD",15787400000,-2191400000,1.3596e+10,-17002500000,-4521800000,-3070800000,-6552300000,-3406500000,-609300000,-8.66e+08,-4015800000,-2841100000,-6856900000,1770700000,-5086200000,NA,-5096400000,-5142800000,-5086200000,5269800000,-1292100000,NA,NA,NA,NA,5640100000,-223100000,-2471700000,NA,3098500000,-1049800000,-6147500000,-2207500000,-9680100000,-936800000,61474,2018,"Q4","2019-02-15","2019-02-15",335300000,335300000,1907300000,2868100000,846900000,6475400000,1.787e+09,1970600000,91554600000,95312200000,101787600000,4859600000,868300000,5727900000,22929400000,30928700000,36656600000,5.651e+10,NA,7258900000,6.5131e+10,101787600000,"Allergan plc",106005
"563","AGNC","2018-12-31","USD",2.29e+08,NA,2.29e+08,-1e+08,-1e+08,NA,NA,1.29e+08,NA,NA,1.29e+08,NA,1.29e+08,NA,1.29e+08,NA,1.29e+08,9.3e+07,1.29e+08,9.38e+08,2.1e+07,NA,NA,NA,NA,1.113e+09,NA,1.8611e+10,0,-2.7936e+10,-9.74e+08,2.5343e+10,2.611e+09,2.698e+10,1.57e+08,445654,2018,"Q4","2019-02-22","2019-02-22",505900000,506200000,9.21e+08,4.89e+08,NA,1.08155e+11,NA,NA,1.086e+09,1.086e+09,1.09241e+11,1.828e+09,NA,9.906e+10,2.75e+08,2.75e+08,9.9335e+10,1.3798e+10,NA,-3.433e+09,9.906e+09,1.09241e+11,"American Capital Agency Corp",109001
"568","AGR","2018-12-31","USD",NA,NA,NA,-5.335e+09,-2.248e+09,NA,-8.55e+08,-5.335e+09,-3.59e+08,-3.03e+08,-5.694e+09,6.462e+09,7.68e+08,-1.7e+08,5.98e+08,NA,5.95e+08,5.95e+08,5.98e+08,3.5e+08,-1.2e+07,NA,NA,NA,NA,1.791e+09,-1.769e+09,NA,NA,-1.564e+09,-5.37e+08,1.66e+08,-4e+06,-2.3e+08,-3e+06,709430,2018,"Q4","2019-03-01","2019-03-01",309477424,309647974,3.6e+07,1.148e+09,1.26e+08,1.969e+09,2.3459e+10,4.24e+08,6.315e+09,3.0198e+10,3.2167e+10,2.034e+09,3.94e+08,3.004e+09,5.368e+09,1.376e+10,1.6764e+10,1.366e+10,-1.2e+07,1.528e+09,1.5403e+10,3.2167e+10,"Avangrid, Inc.",105001
"577","AGX","2019-01-31","USD",482153000,-399715000,82438000,-40710000,-40710000,NA,NA,41728000,6981000,NA,48709000,-1491000,47218000,4651000,51869000,NA,52036000,52036000,51869000,1000,-168626000,NA,NA,NA,NA,-112322000,-8599000,-190775000,NA,170626000,-15570000,NA,102000,-15540000,42211000,529078,2018,"Q4","2019-04-10","2019-04-10",15571000,15741000,296531000,36174000,NA,416348000,19778000,NA,40522000,60300000,476648000,73927000,NA,82276000,NA,0,82276000,147298000,NA,247616000,394372000,476648000,"ARGAN INC",100003
"586","AGYS","2019-03-31","USD",140842000,-66962000,73880000,-85793000,-42764000,-37817000,-5071000,-11913000,138000,329000,-11775000,-1168000,-12943000,-221000,-13164000,NA,-13164000,-13164000,-13164000,19200000,-1299000,NA,NA,NA,NA,7241000,-3318000,NA,NA,-5534000,NA,-120000,NA,-767000,828000,249502,2018,"Q4","2019-05-24","2019-10-29",22874000,22874000,40771000,2.7e+07,2044000,79008000,15838000,NA,68745000,84583000,163591000,19610000,22000,58301000,35000,4668000,62969000,10263000,-2433000,93051000,100622000,163591000,"AGILYSYS INC",101003
"594","AHPI","2018-06-30","USD",33759953,-27309511,6450442,-8446056,-8446056,NA,NA,-1995614,-23518,-23281,-2019132,NA,-2019132,-173038,-2192170,NA,-2192170,-2192170,-2192170,153812,247358,NA,NA,NA,NA,-859592,0,NA,NA,0,NA,0,NA,0,-859592,262963,2018,"Q4","2018-09-28","2018-09-28",4013537,4013537,136112,3747993,7830541,11977429,4823149,NA,520663,5343812,17321241,3324301,NA,3324301,NA,0,3324301,48540359,-20980788,NA,13996940,17321241,"ALLIED HEALTHCARE PRODUCTS INC",106004
"604","AHS","2018-12-31","USD",2136074000,-1439691000,696383000,-493555000,-452318000,NA,-41237000,202828000,-16143000,-16143000,186685000,NA,186685000,-44944000,141741000,NA,141741000,141741000,141741000,12310000,31705000,NA,NA,NA,NA,226993000,-35206000,-8824000,-223460000,-278587000,NA,119250000,-67013000,36761000,-14570000,683491,2018,"Q4","2019-02-21","2019-02-21",46812000,48091000,13856000,416014000,NA,482166000,90419000,NA,920136000,1010555000,1492721000,284662000,NA,307270000,440607000,546461000,853731000,453218000,-100438000,286059000,638990000,1492721000,"AMN HEALTHCARE SERVICES INC",100011
"613","AIMC","2018-12-31","USD",1175342000,-799231000,376111000,-289434000,-256358000,-33076000,NA,86677000,-28596000,-28601000,58081000,-6333000,51748000,-16407000,35341000,NA,35341000,35341000,35300000,19200000,1800000,NA,NA,NA,NA,116300000,-37500000,NA,-951900000,-989400000,-2e+07,1053200000,NA,986200000,1.17e+08,773555,2018,"Q4","2019-03-01","2020-02-27",64389000,66171000,1.69e+08,259800000,231200000,7.04e+08,364400000,NA,3268800000,3633200000,4337200000,240300000,17200000,337100000,1690900000,2151900000,2.489e+09,1687200000,NA,232600000,1848200000,4337200000,"Altra Industrial Motion Corp.",100001
"622","AIR","2018-05-31","USD",1748300000,-1453700000,294600000,-208600000,-208600000,NA,NA,8.6e+07,-8800000,-7900000,77200000,NA,77200000,-3500000,73700000,-58100000,15600000,15600000,73700000,2400000,-60800000,NA,NA,NA,NA,64300000,-13400000,NA,-22900000,-42900000,-10300000,23800000,-1500000,1e+07,31300000,671123,2018,"Q4","2018-07-11","2018-12-19",34800000,35400000,31100000,2.02e+08,460700000,942700000,133200000,NA,448800000,5.82e+08,1524700000,308300000,NA,333300000,177200000,255100000,588400000,515800000,-280700000,733200000,936300000,1524700000,"AAR CORP",100008
"632","AIRI","2018-12-31","USD",46309000,-40895000,5414000,-8839000,NA,NA,NA,-3425000,-3643000,-3921000,-7068000,-2538000,-9606000,-3000,-9609000,-1383000,-10992000,-10992000,-10992000,5066000,713000,NA,NA,NA,NA,-2336000,-1264000,NA,NA,3685000,NA,-4244000,2885000,33000,1382000,166965,2018,"Q4","2019-04-01","2019-08-08",28691954,28602497,2012000,6522000,29051000,38048000,8777000,NA,931000,9708000,47756000,8743000,19345000,29007000,5721000,7143000,36150000,76129000,NA,-64523000,11606000,47756000,"AIR INDUSTRIES GROUP",100008
"641","AIT","2018-06-30","USD",3073274000,-2189279000,883995000,-658168000,-658168000,NA,NA,225827000,-21109000,-23485000,204718000,0,204718000,-63093000,141625000,NA,141625000,141625000,141625000,10043000,-54227000,NA,NA,NA,NA,147304000,-22252000,NA,-775654000,-797906000,-45858000,674080000,-22676000,600284000,-50907000,253867,2018,"Q4","2018-08-17","2018-08-17",38686000,39296000,54150000,548811000,422069000,1058020000,121343000,NA,1106378000,1227721000,2285741000,330256000,19183000,432551000,944522000,1038227000,1470778000,179383000,-403875000,1129678000,814963000,2285741000,"APPLIED INDUSTRIAL TECHNOLOGIES INC",100005
"653","AJG","2018-12-31","USD",6792400000,-1.816e+09,4976400000,-4.349e+09,-3.93e+09,NA,-4.19e+08,627400000,-138400000,-138400000,4.89e+08,-9600000,479400000,196500000,675900000,NA,633500000,633500000,675900000,33900000,-363700000,-783100000,NA,819700000,-400300000,765100000,-124400000,NA,-784800000,-910300000,-301800000,507900000,70600000,1.62e+08,-68200000,66898,2018,"Q4","2019-02-08","2019-02-08",183600000,183600000,607200000,NA,NA,8118700000,436900000,NA,7778400000,8215300000,1.6334e+10,6795300000,3.65e+08,7693600000,3091400000,4070700000,11764300000,3725900000,NA,1558600000,4569700000,1.6334e+10,"GALLAGHER ARTHUR J & CO",104003
"662","AJRD","2018-11-30","USD",1895900000,-1549400000,346500000,-75900000,-43800000,NA,-72300000,270600000,-8.2e+07,-8.2e+07,188600000,0,188600000,-51300000,137300000,NA,137300000,137300000,137300000,43100000,0,NA,NA,NA,NA,252700000,-43200000,20400000,NA,-20900000,NA,-25300000,-3300000,-26500000,205300000,516551,2018,"Q4","2019-02-19","2019-02-19",76900000,80100000,735300000,141200000,NA,1234300000,399700000,NA,856100000,1255800000,2490100000,88700000,273100000,878300000,352300000,1190500000,2068800000,569500000,-12700000,103900000,421300000,2490100000,"AEROJET ROCKETDYNE HOLDINGS, INC.",100008
"673","AKAM","2018-12-31","USD",2714474000,-953485000,1760989000,-1370896000,-1091420000,-246165000,NA,390093000,-19410000,-16262000,370683000,-27594000,343089000,-44716000,298373000,NA,298373000,298373000,298373000,245128000,30306000,-30445000,NA,42238000,18513000,1008327000,-217609000,-98647000,-79000,-506533000,NA,990390000,-687392000,233608000,722558000,69211,2018,"Q4","2019-02-28","2019-05-09",162958000,164541000,1892105000,479889000,NA,2535354000,910618000,209066000,1806732000,2926416000,5461770000,427393000,686552000,1210709000,874080000,1059201000,2269910000,3671662000,0,-430890000,3191860000,5461770000,"AKAMAI TECHNOLOGIES INC",101003
"679","AKER","2018-12-31","USD",1665570,-1538285,127285,-10187694,-7448333,-1063253,-171108,-10060409,163286,165840,-9897123,-951911,-10849034,0,-10849034,NA,-10849034,-10849034,-10849034,1412233,684945,NA,NA,NA,NA,-8517370,-68214,-276293,NA,-344507,NA,NA,0,9105200,243323,592461,2018,"Q4","2019-04-01","2019-08-14",481407,481407,5454753,176326,585267,6670128,83456,NA,1053669,1137125,7807253,1973500,NA,1973500,NA,0,1973500,121554547,NA,-115694881,5833753,7807253,"Akers Biosciences, Inc.",106003
"683","AKR","2018-12-31","USD",262213000,NA,262213000,-234672000,-34343000,NA,-117549000,27541000,-47445000,-69978000,-19904000,0,-19904000,-934000,-20838000,5140000,31439000,31439000,-15698000,8302000,-14077000,NA,NA,NA,NA,96076000,-242819000,NA,-3161000,-136619000,-88887000,121947000,-55111000,-10278000,-50821000,664572,2018,"Q4","2019-02-19","2019-02-19",81560652,81560652,21268000,62191000,NA,206652000,3281148000,NA,470980000,3752128000,3958780000,239554000,NA,255177000,1621656000,1621656000,1876833000,1548685000,NA,-89696000,2081947000,3958780000,"ACADIA REALTY TRUST",109001
"692","AKRX","2018-12-31","USD",694018000,-448002000,246016000,-380421000,-279628000,-47321000,-53472000,-134405000,-44540000,-45900000,-178945000,-259237000,-438182000,36273000,-401909000,NA,-401909000,-401909000,-401909000,226965000,23245000,NA,NA,NA,NA,-68894000,-69131000,NA,NA,-69131000,NA,0,546000,-5038000,-144095000,195622,2018,"Q4","2019-03-01","2019-05-09",125498000,125498000,224868000,153126000,173645000,583819000,334853000,NA,576585000,911438000,1495257000,170823000,NA,170823000,820411000,880568000,1051391000,574553000,NA,-107168000,443866000,1495257000,"AKORN INC",106005
