"","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"184",184,184,1315357,7,"Mango Tree Ipanema"," Ipanema",9,0.3,NA,611,24,0,0,1,8.2,0,0,1
"185",185,185,1881668,7,"Aurora Hostel Rio"," Botafogo",6,1.7,NA,421,17,0,0,1,7.7,0,0,1
"186",186,186,484112,7,"Hotel Plage"," Ilha do Governador",12,0,NA,348,27,1,1,1,6.7,0,0,0
"187",187,187,392177,7,"Hotel Sheik (Adults Only)"," Centro do Rio de Janeiro",0.95,2.7,NA,220,16,1,1,1,8.3,1,0,0
"188",188,188,2984583,7,"Quarto Privativo em Condominio"," Ilha do Governador",11,NA,NA,506,20,0,0,1,9.4,0,0,0
"189",189,189,1709032,7,"Venit Mio Hotel"," Barra da Tijuca",23,NA,4,166,66,1,1,0,8.7,0,1,0
"190",190,190,314145,7,"OYO Hotel Vital"," Centro do Rio de Janeiro",0.8,NA,2,574,21,1,1,0,7.2,1,0,0
"191",191,191,416919,7,"Hotel La Costa"," Centro do Rio de Janeiro",1.6,1.9,NA,61,23,1,1,1,6.7,1,0,0
"192",192,192,249613,7,"Che Lagarto Hostel Ipanema"," Ipanema",9,1.1,NA,1763,24,0,0,1,8.3,0,0,1
"193",193,193,1845101,7,"Mojito Hostel & Suites Ipanema Rio de Janeiro"," Ipanema",9,0.7,NA,751,20,1,1,1,8.5,0,0,1
"194",194,194,2590972,7,"Rio Spot Duvivier D038"," Copacabana",7,0,4,13,109,0,0,0,8.4,0,0,1
"195",195,195,467162,8,"Rio Deal Guest House"," Copacabana",7,0.65,3,275,22,0,0,1,8.1,0,0,1
"196",196,196,4410736,8,"GUARATIBALI RESIDENCE"," Rio de JaneiroMostrar no mapa",42,0,NA,37,30,0,0,1,7.9,1,0,0
"197",197,197,1703828,8,"Courtyard by Marriott Rio de Janeiro Barra da Tijuca"," Barra da Tijuca",24,NA,4,325,57,0,0,1,8.4,0,1,0
"198",198,198,419766,8,"KS Residence"," Barra da Tijuca",17,1.9,4,185,87,1,1,1,9.1,0,1,0
"199",199,199,4088169,8,"Flat Casa del Mar"," Barra da Tijuca",21,0,3,40,70,0,0,1,7.4,0,1,0
"200",200,200,6839073,8,"Apartamento próximo a Praia do Forte"," Rio de JaneiroMostrar no mapa",119,0.4,NA,0,49,0,0,0,NA,1,0,0
"201",201,201,1474245,8,"Hospedaria Rio"," Botafogo",5,0.45,NA,763,16,0,0,1,8.6,0,0,1
"202",202,202,5846416,8,"Farfalla São Manuel"," Botafogo",5,0.9,NA,85,19,0,0,1,8.4,0,0,1
"203",203,203,6893942,8,"Condomínio Vila do Sossego"," Rio de JaneiroMostrar no mapa",120,2.7,NA,0,31,0,0,1,NA,1,0,0
"204",204,204,6585751,8,"South Beach Copacabana Residence"," Copacabana",8,0.2,4,0,69,0,0,1,NA,0,0,1
"205",205,205,4407370,8,"Copacabana Private rooms aluguel"," Copacabana",9,0.5,NA,99,16,0,0,1,6.8,0,0,1
"206",206,206,738662,8,"Ace Praia de Botafogo Suites"," Botafogo",5,0.5,NA,307,21,0,0,1,7.8,0,0,1
