"","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio"
"147",147,287192,6,"Ace Suites Inn Rio"," Botafogo","5 km do centro"," Em frente à praia",3,"845","€ 30",1,1,"1","8,0"
"148",148,189005,6,"Américas Benidorm Hotel"," Copacabana","7 km do centro"," A 550 m da praia",4,"728","€ 30",0,0,"1","8,5"
"149",149,13850,6,"Royalty Copacabana Hotel"," Copacabana","7 km do centro"," A 1 km da praia",4,"1 004","€ 41",1,1,"0","6,2"
"150",150,300639,6,"CabanaCopa Hostel"," Copacabana","6 km do centro"," A 1,1 km da praia",NA,"337","€ 21",0,0,"1","7,6"
"151",151,19389,6,"Windsor Guanabara"," Centro do Rio de Janeiro","100 m do centro","",4,"1 035","€ 51",1,1,"0","8,4"
"152",152,2490729,6,"Hygge House Barra da Tijuca"," Barra da Tijuca","17 km do centro"," A 2 km da praia",NA,"698","€ 25",1,1,"1","8,7"
"153",153,321707,6,"Ipanema Beach House"," Ipanema","9 km do centro"," A 1 km da praia",NA,"1 288","€ 33",0,0,"1","8,2"
"154",154,263285,6,"Boutique Hotel Gávea Tropical"," Gávea","11 km do centro"," A 1,3 km da praia",3,"60","€ 37",1,1,"1","7,6"
"155",155,392209,6,"Hotel Primor (Adult Only)"," Centro do Rio de Janeiro","950 m do centro"," A 2,8 km da praia",NA,"635","€ 18",1,1,"0","7,9"
"156",156,1909675,6,"Ipanema Beach Hostel"," Ipanema","10 km do centro"," A 1,1 km da praia",NA,"853","€ 41",0,0,"1","8,2"
"157",157,1803094,6,"Room Office & Beach Guest House - Go Make A Trip"," Barra da Tijuca","21 km do centro"," Em frente à praia",3,"545","€ 21",0,0,"1","8,6"
"158",158,1093048,6,"Rio Aeroporto Hotel"," Ilha do Governador","12 km do centro","",4,"2 279","€ 62",1,1,"0","7,6"
"159",159,815176,6,"La Suite by Dussol"," Joatinga","16 km do centro"," A 450 m da praia",4,"201","€ 238",1,1,"1","9,3"
"160",160,330618,6,"Imperial Hotel"," Catete","2,9 km do centro"," A 600 m da praia",3,"1 040","€ 28",0,1,"1","8,3"
"161",161,1884744,6,"OYO Toy Barra Hotel"," Barra da Tijuca","17 km do centro"," A 950 m da praia",3,"452","€ 25",1,1,"0","6,8"
"162",162,19353,6,"Windsor Astúrias"," Centro do Rio de Janeiro","1,2 km do centro"," A 1,9 km da praia",3,"740","€ 34",1,1,"0","8,6"
"163",163,850450,6,"Hotel Encontros (Adult Only)"," Centro do Rio de Janeiro","1,1 km do centro"," A 2,5 km da praia",NA,"419","€ 16",0,0,"0","8,0"
"164",164,3595258,6,"Apartamento em Copacabana ( posto 5 )"," Copacabana","8 km do centro"," Em frente à praia",3,"27","€ 102",0,0,"0","9,1"
"165",165,1043631,6,"Injoy H & Suítes"," Botafogo","5 km do centro"," A 800 m da praia",NA,"980","€ 23",0,0,"1","8,9"
"166",166,5867066,6,"Hotel Be Loft Lounge"," Barra da Tijuca","17 km do centro"," A 1,2 km da praia",4,"108","€ 30",0,0,"1","8,9"
